,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
59,Pocket God™,GAME_ARCADE,3.7,30425,$0.99,500000,"Bolt Creative, Inc",https://play.google.com/store/apps/details?id=com.ngmoco.pocketgod
60,Retro N64 Pro - N64 Emulator,GAME_ARCADE,4.5,152,$2.99,1000,Retro Game Emulators,https://play.google.com/store/apps/details?id=org.mupen64plusae.retron64.pro
61,Ding Dong XL,GAME_ARCADE,4.6,57,$0.99,5000,Nickervision Studios,https://play.google.com/store/apps/details?id=com.NVS.dingdongxl
62,Vector Full,GAME_ARCADE,4.2,35899,$0.99,500000,NEKKI,https://play.google.com/store/apps/details?id=com.nekki.vector.paid
63,Retro NES Pro - NES Emulator,GAME_ARCADE,4.7,168,$1.99,1000,Retro Game Emulators,https://play.google.com/store/apps/details?id=com.retrones.pro
64,holedown,GAME_ARCADE,4.5,383,$3.99,10000,grapefrukt games,https://play.google.com/store/apps/details?id=com.grapefrukt.games.bore
65,Marvel Pinball,GAME_ARCADE,3.9,8491,$0.99,100000,Zen Studios,https://play.google.com/store/apps/details?id=com.zenstudios.MarvelPinball
66,PAC-MAN Championship Edition DX,GAME_ARCADE,4.5,1879,$1.99,10000,BANDAI NAMCO Entertainment America Inc.,https://play.google.com/store/apps/details?id=com.bandainamcoent.pacmancedx
67,The Impossible Game,GAME_ARCADE,4.1,19823,$0.99,500000,FlukeDude,https://play.google.com/store/apps/details?id=com.flukedude.impossiblegame
68,Backflip Madness,GAME_ARCADE,4.3,26425,$0.99,500000,Gamesoul Studio,https://play.google.com/store/apps/details?id=com.gamesoulstudio.backflipmadness
69,Ms. PAC-MAN,GAME_ARCADE,4.3,5519,$3.99,100000,BANDAI NAMCO Entertainment America Inc.,https://play.google.com/store/apps/details?id=com.NamcoNetworks.MsPacMan
70,Ridiculous Fishing,GAME_ARCADE,4.5,13831,$2.49,100000,Vlambeer,https://play.google.com/store/apps/details?id=com.vlambeer.RidiculousFishing
71,METAL SLUG 3,GAME_ARCADE,3.7,14160,$2.99,100000,SNK CORPORATION,https://play.google.com/store/apps/details?id=com.dotemu.neogeo.mslug3
72,Sonic 4™ Episode I,GAME_ARCADE,3.7,8205,$2.99,100000,SEGA,https://play.google.com/store/apps/details?id=com.sega.sonic4epi
73,Galaxy Stack,GAME_ARCADE,4.5,6,$1.99,50,Crescent Moon Games,https://play.google.com/store/apps/details?id=com.crescentmoongames.galaxystack
74,Worms 3,GAME_ARCADE,4.2,67877,$4.99,1000000,Team 17 Digital Limited,https://play.google.com/store/apps/details?id=com.worms3.app
75,The Game of Life,GAME_BOARD,4.4,23303,$2.99,500000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.golmobile
76,Clue,GAME_BOARD,4.6,23834,$1.99,100000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.cluedogame
77,Ticket to Ride,GAME_BOARD,4.2,12708,$4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.tt.android
78,Catan Classic,GAME_BOARD,3.9,25425,$4.99,500000,USM,https://play.google.com/store/apps/details?id=com.exozet.android.catan
79,Carcassonne: Official Board Game -Tiles & Tactics,GAME_BOARD,4.4,4323,$4.99,50000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.carcassonne
80,Pandemic: The Board Game,GAME_BOARD,4.7,4013,$4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.f2zentertainment.pandemic
81,Chess,GAME_BOARD,4.6,5402,$1.99,100000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.chess
82,Splendor,GAME_BOARD,4.1,3159,$4.99,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.Splendor.gp
83,Hasbro's BATTLESHIP,GAME_BOARD,4.2,1306,$2.99,50000,Marmalade Game Studio,https://play.google.com/store/apps/details?id=com.marmalade.battleship
84,D&D Lords of Waterdeep,GAME_BOARD,3.6,632,$6.99,10000,"Playdek, Inc.",https://play.google.com/store/apps/details?id=com.playdekgames.waterdeep
85,Small World 2,GAME_BOARD,4.4,5638,$4.99,50000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.daysofwonder.smallworld2
86,Through the Ages,GAME_BOARD,4.9,5926,$9.99,10000,CGE digital,https://play.google.com/store/apps/details?id=com.czechgames.tta
87,Race for the Galaxy,GAME_BOARD,4.5,494,$6.99,10000,Temple Gates Games LLC,https://play.google.com/store/apps/details?id=com.templegatesgames.RaceAndroid
88,Elder Sign: Omens,GAME_BOARD,4.5,9703,$3.99,100000,Fantasy Flight Games,https://play.google.com/store/apps/details?id=com.fantasyflightgames.ESAndroid
89,Smash Up - The Shufflebuilding Game,GAME_BOARD,3.5,451,$3.49,10000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.smashup
90,Galaxy Trucker,GAME_BOARD,4.8,7685,$4.99,50000,CGE digital,https://play.google.com/store/apps/details?id=com.czechgames.galaxytrucker
91,Backgammon,GAME_BOARD,4.1,1891,$1.99,50000,AI Factory Limited,https://play.google.com/store/apps/details?id=uk.co.aifactory.backgammon
92,Mysterium: A Psychic Clue Game,GAME_BOARD,4.4,869,$3.49,10000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.mysterium
93,Talisman,GAME_BOARD,4.3,7961,$3.49,100000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.nomadgames.talisman
94,Sentinels of the Multiverse,GAME_BOARD,4.5,1052,$6.99,10000,Handelabra Games,https://play.google.com/store/apps/details?id=com.handelabra.Sentinels
95,Ganz schön clever,GAME_BOARD,4.2,121,$2.99,5000,Brettspielwelt GmbH,https://play.google.com/store/apps/details?id=de.brettspielwelt.ganzschoenclever
96,Tokaido™,GAME_BOARD,4.2,490,$1.99,10000,Funforge Digital,https://play.google.com/store/apps/details?id=com.funforgedigital.tokaido
97,Mille Bornes - The Classic French Card Game,GAME_BOARD,3.1,56,$1.99,1000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.asmodeedigital.millebornes
98,Jaipur: A Card Game of Duels,GAME_BOARD,3.9,468,$3.49,10000,Asmodee Digital,https://play.google.com/store/apps/details?id=com.meepletouch.jaipur
